proxy_policy_id,canonical_feature_key,selected_source_id,allow_in_strict_if_proxy_only,rationale,notes
POLICY_WMO_ATM_LIFE,environmental.atmospheric_lifetime,SRC063,1,"Accept WMO/NOAA Annex atmospheric lifetime values when the canonical selection is proxy-only and no non-proxy candidate exists.","Authoritative summary table; keep provenance as proxy_only_policy."
POLICY_STRUCTURAL_MW_HFC_CLASSIF_SRC001,identifier.molecular_weight,SRC001,1,"Accept molecular-weight selections from structured refrigerant classification tables when no non-proxy canonical candidate exists.","Molecular weight is deterministic from structure and safe to retain in strict long-form output."
POLICY_STRUCTURAL_MW_ODS_SRC017,identifier.molecular_weight,SRC017,1,"Accept molecular-weight selections from EPA ODS reference tables when no non-proxy canonical candidate exists.","Molecular weight is deterministic from structure and safe to retain in strict long-form output."
POLICY_STRUCTURAL_MW_PUBCHEM_SRC019,identifier.molecular_weight,SRC019,1,"Accept molecular-weight selections from PubChem compound records when no non-proxy canonical candidate exists.","Molecular weight is deterministic from structure and safe to retain in strict long-form output."
POLICY_STRUCTURAL_MW_TECHTRANS_SRC002,identifier.molecular_weight,SRC002,1,"Accept molecular-weight selections from EPA Technology Transitions reference values when no non-proxy canonical candidate exists.","Molecular weight is deterministic from structure and safe to retain in strict long-form output."
POLICY_STRUCTURAL_MW_NISTWEBBOOK_SRC018,identifier.molecular_weight,SRC018,1,"Accept molecular-weight selections from NIST Chemistry WebBook when no non-proxy canonical candidate exists.","Molecular weight is deterministic from structure and safe to retain in strict long-form output."
POLICY_COOLPROP_ACENTRIC,molecular_descriptor.acentric_factor,SRC023,1,"Accept CoolProp acentric factors when they are the only canonical candidate remaining after source ranking.","Deterministic library-backed value retained as proxy_only_policy."
POLICY_COOLPROP_SAFETY_GROUP,safety.safety_group,SRC023,1,"Accept CoolProp safety-group encodings when they are the only canonical candidate remaining after source ranking.","Retain provenance; do not rewrite the canonical recommendation layer."
POLICY_COOLPROP_CRIT_DENS,thermodynamic.critical_density,SRC023,1,"Accept CoolProp critical-density values when they are the only canonical candidate remaining after source ranking.","Deterministic EOS-backed value retained as proxy_only_policy."
POLICY_COOLPROP_CRIT_P,thermodynamic.critical_pressure,SRC023,1,"Accept CoolProp critical-pressure values when they are the only canonical candidate remaining after source ranking.","Deterministic EOS-backed value retained as proxy_only_policy."
POLICY_COOLPROP_CRIT_T,thermodynamic.critical_temperature,SRC023,1,"Accept CoolProp critical-temperature values when they are the only canonical candidate remaining after source ranking.","Deterministic EOS-backed value retained as proxy_only_policy."
POLICY_COOLPROP_TRIPLE_P,thermodynamic.triple_pressure,SRC023,1,"Accept CoolProp triple-pressure values when they are the only canonical candidate remaining after source ranking.","Deterministic EOS-backed value retained as proxy_only_policy."
POLICY_COOLPROP_TRIPLE_T,thermodynamic.triple_temperature,SRC023,1,"Accept CoolProp triple-temperature values when they are the only canonical candidate remaining after source ranking.","Deterministic EOS-backed value retained as proxy_only_policy."
