request_id,mol_id,canonical_smiles,isomeric_smiles,program,method_family,theory_level,basis_set,solvation_model,status,recommended_next_action,notes
qreq_793c80431543b963,mol_mizlgwkezapefj-uhfffaoysa-n,FC=C(F)F,FC=C(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB131; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_dabbbe00062d590c,mol_ajdizqlsfpqpey-uhfffaoysa-n,FC(F)(Cl)C(F)(Cl)Cl,FC(F)(Cl)C(F)(Cl)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB034; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_acfee86277c25738,mol_bqcidusakpweox-uhfffaoysa-n,C=C(F)F,C=C(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB070; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_85214fd0f9939535,mol_ddmousalmhhkos-uhfffaoysa-n,FC(F)(Cl)C(F)(F)Cl,FC(F)(Cl)C(F)(F)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB035; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_6e1ff27ce6594a76,mol_bamuexipksrtbs-uhfffaoysa-n,FC(F)(F)C(F)(Cl)Cl,FC(F)(F)C(F)(Cl)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB094; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_68755da2689d9b0c,mol_rfcauadvodfslz-uhfffaoysa-n,FC(F)(F)C(F)(F)Cl,FC(F)(F)C(F)(F)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB036; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_76295c8587ab7ca3,mol_vggsqfucumxweo-uhfffaoysa-n,C=C,C=C,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB030; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_3fb023cde47fba61,mol_wmiykqltonqjes-uhfffaoysa-n,FC(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB051; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_812f8780c08c6013,mol_ldtmpqqawumpks-owojbtedsa-n,FC(F)(F)C=CCl,FC(F)(F)/C=C/Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB011; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_6a73f82efdc1e941,mol_cdooaushhfgwsa-uphrsurjsa-n,FC=CC(F)(F)F,F/C=C\C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB119; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_23819a123f66e55b,mol_fdmfuzhcirhgrg-uhfffaoysa-n,C=CC(F)(F)F,C=CC(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB135; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_1964224e3114dee7,mol_afypfacvudmoha-uhfffaoysa-n,FC(F)(F)Cl,FC(F)(F)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB033; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_768a92016b55750f,mol_nlolsxyrjfeota-owojbtedsa-n,FC(F)(F)C=CC(F)(F)F,FC(F)(F)/C=C/C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,ready_for_executor,run_quantum,governance DFT backlog pregeometry request; first-stage scalar route only; substance_id=SUB013; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
