request_id,mol_id,canonical_smiles,isomeric_smiles,program,method_family,theory_level,basis_set,solvation_model,status,recommended_next_action,notes
qreq_879b224864f92bec,mol_dadafcfjdztokm-uhfffaoysa-n,FC(=C(Cl)C(F)(F)F)C(F)(F)C(F)(F)F,FC(=C(Cl)C(F)(F)F)C(F)(F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClF; priority_score=0.762
qreq_91c17d903e588963,mol_cpaqqpjfmvgxbq-uhfffaoysa-n,FC(F)=C(F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)=C(F)C(F)(C(F)(F)F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|F; priority_score=0.762
qreq_bf1f02a26dd3cb81,mol_kopmuszlextodj-uhfffaoysa-n,N#CC(Cl)=C(Cl)[S+]([O-])C(Cl)=C(Cl)C#N,N#CC(Cl)=C(Cl)[S+]([O-])C(Cl)=C(Cl)C#N,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|Cl; priority_score=0.756667
qreq_4f1ee4a24368d7ac,mol_aeaipekkskmlqs-uhfffaoysa-n,FC(F)(F)C(Br)=CC(F)(F)C(F)(F)F,FC(F)(F)C(Br)=CC(F)(F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|BrF; priority_score=0.755
qreq_d8d40be55a4ec087,mol_ckusamwaelhzny-uhfffaoysa-n,N#CC(F)=C(F)C(F)=C=C(F)I,N#CC(F)=C(F)C(F)=C=C(F)I,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|FI; priority_score=0.740333
qreq_7f1c4a19c9a25c14,mol_hqdibyvknaqtgx-uhfffaoysa-n,FC(F)(F)C(Cl)=C(Br)C(F)(F)F,FC(F)(F)C(Cl)=C(Br)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClBrF; priority_score=0.739333
qreq_0f03b2635e013b1e,mol_apxcrdlkxgapau-uhfffaoysa-n,N#CCCSC(Cl)=C(Br)C#N,N#CCCSC(Cl)=C(Br)C#N,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClBr; priority_score=0.736667
qreq_d4aeb7752ce5e130,mol_vrnlrjorpbmxnh-uhfffaoysa-n,O=C(O)C(Br)=C(C(=O)O)C(=O)O,O=C(O)C(Br)=C(C(=O)O)C(=O)O,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|Br; priority_score=0.736
qreq_2375048ebe9ca23c,mol_nqcsvhznkfxwme-uhfffaoysa-n,O=C(O)C(C(=O)O)=C(Cl)CI,O=C(O)C(C(=O)O)=C(Cl)CI,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClI; priority_score=0.729667
qreq_3afabef60ece6c63,mol_oncblsbpbzzzqd-uhfffaoysa-n,CCOC(I)=C(C#N)C#N,CCOC(I)=C(C#N)C#N,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|I; priority_score=0.727667
qreq_b6c2e1d7fb809b35,mol_mlscyoqmivjhri-uhfffaoysa-n,FC(F)(Cl)C(F)(F)C=CI,FC(F)(Cl)C(F)(F)C=CI,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,completed,run_quantum,completed Psi4 DFT results already present; Psi4 DFT request selected from completed xTB molecules; stratification_key=unassigned|no_scaffold|ClFI; priority_score=0.725333
