request_id,mol_id,canonical_smiles,isomeric_smiles,program,method_family,theory_level,basis_set,solvation_model,status,recommended_next_action,notes
qreq_01b949b86e878978,mol_cyrmsutzvyginf-uhfffaoysa-n,FC(Cl)(Cl)Cl,FC(Cl)(Cl)Cl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB031; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_fabd961cfad18f7d,mol_mizlgwkezapefj-uhfffaoysa-n,FC=C(F)F,FC=C(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB131; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_1eaaafc4a4d4599a,mol_ajdizqlsfpqpey-uhfffaoysa-n,FC(F)(Cl)C(F)(Cl)Cl,FC(F)(Cl)C(F)(Cl)Cl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB034; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_b2a35047086c26a6,mol_bqcidusakpweox-uhfffaoysa-n,C=C(F)F,C=C(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB070; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_6131be2b66ca2220,mol_ddmousalmhhkos-uhfffaoysa-n,FC(F)(Cl)C(F)(F)Cl,FC(F)(Cl)C(F)(F)Cl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB035; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_11406c03c69cbb76,mol_bamuexipksrtbs-uhfffaoysa-n,FC(F)(F)C(F)(Cl)Cl,FC(F)(F)C(F)(Cl)Cl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB094; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_cadbbe78f7778e43,mol_rfcauadvodfslz-uhfffaoysa-n,FC(F)(F)C(F)(F)Cl,FC(F)(F)C(F)(F)Cl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB036; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_8efc7fa4ee8ed5ac,mol_vggsqfucumxweo-uhfffaoysa-n,C=C,C=C,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB030; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_040758cd3cf4df3a,mol_wmiykqltonqjes-uhfffaoysa-n,FC(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)F,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB051; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
qreq_96193e583f161b06,mol_pxbrqckwgahehs-uhfffaoysa-n,FC(F)(Cl)Cl,FC(F)(Cl)Cl,psi4,DFT,B3LYP-D3BJ,def2-SVP,gas_phase,ready_for_executor,run_quantum,governance DFT backlog executed singlepoint request; substance_id=SUB032; requested_properties=dft_homo_energy;dft_lumo_energy;dft_homo_lumo_gap;dft_dipole_moment;dft_polarizability;zero_point_energy;ir_vibrational_frequencies;partial_charges_NBO_or_RESP;standard_enthalpy_of_formation;multi_conformer_relative_energies
